Mark,Competitor,Nat,Location,Discipline,Date,Results Score
3:35.49,ADEL MECHAAL,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",1500m,30 JUN 2024,1168
3:35.50,DOMINIC LOKINYOMO LOBALU,SUI,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1168
3:35.50,ADAM FOGG,GBR,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1168
3:35.51,MACIEJ WYDERKA,POL,"Stadion Śląski, Chorzów (POL)",1500m,18 MAY 2024,1168
3:35.51,LUKE MCCANN,IRL,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1168
3:35.52,SAMUEL PRAKEL,USA,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1167
3:35.52,SAMUEL TANNER,NZL,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1167
3:35.53,ADEL MECHAAL,ESP,"Arena, Toruń (POL) (i)",1500m,06 FEB 2024,1220
3:35.55,VINCENT CIATTEI,USA,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1167
3:35.57,JOHNATHAN RENIEWICKI,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",1500m,12 JUL 2024,1167
3:35.58,SAMUEL TEFERA,ETH,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,10 MAY 2024,1167
3:35.59,ROBERT FARKEN,GER,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,10 MAY 2024,1166
3:35.59,CAMERON MYERS,AUS,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1166
3:35.60,ETHAN STRAND,USA,"Morris Williams T&F Stadium, Durham, NC (USA)",1500m,12 APR 2024,1166
3:35.60,POL MOYA,AND,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1166
3:35.62,KAZUTO IIZAWA,JPN,"Tokai University Stadium, Hiratsuka (JPN)",1500m,08 JUN 2024,1166
3:35.63,OSSAMA MESLEK,ITA,"Arena, Toruń (POL) (i)",1500m,06 FEB 2024,1219
3:35.63,ABDIHAMID NUR,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,04 MAY 2024,1166
3:35.63,KIERAN LUMB,CAN,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1166
3:35.63,WES PORTER,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1166
3:35.63,REYNOLD CHERUIYOT,KEN,"Nyayo National Stadium, Nairobi (KEN)",1500m,14 JUN 2024,1166
3:35.64,NICHOLAS GRIGGS,IRL,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1166
3:35.67,ABEL KIPSANG,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,10 MAY 2024,1165
3:35.68,KASEY KNEVELBAARD,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",1500m,20 JUL 2024,1165
3:35.70,JESSE HUNT,AUS,"SA Athletic Stadium, Adelaide (AUS)",1500m,10 FEB 2024,1165
