Mark,Competitor,Nat,Location,Discipline,Date,Results Score
3:35.71,ABEL KIPSANG,KEN,"Hayward Field, Eugene, OR (USA)",1500m,25 MAY 2024,1165
3:35.71,NATHAN GREEN,USA,"Hayward Field, Eugene, OR (USA)",1500m,21 JUN 2024,1165
3:35.71,LUKE MCCANN,IRL,"Centre sportif Bout-du-Monde, Genève (SUI)",1500m,22 JUN 2024,1165
3:35.72,WALEED SULIMAN,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1165
3:35.73,FILIP OSTROWSKI,POL,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1165
3:35.73,SAMUEL PRAKEL,USA,"Edwin Moses Track Morehouse College, B.T. Harvey Stadium, Atlanta, GA (USA)",1500m,31 MAY 2024,1165
3:35.77,KAZUTO IIZAWA,JPN,"Yanmar Stadium Nagai, Osaka (JPN)",1500m,12 MAY 2024,1164
3:35.77,GARY MARTIN,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1164
3:35.77,MELKENEH AZIZE,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",1500m,14 JUN 2024,1164
3:35.80,DANIEL MUNGUTI,KEN,"Nyayo National Stadium, Nairobi (KEN)",1500m,14 JUN 2024,1164
3:35.80,STEFAN NILLESSEN,NED,"FBK Stadium, Hengelo (NED)",1500m,30 JUN 2024,1164
3:35.81,MELESE NBERET,ETH,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1163
3:35.82,ADAM FOGG,GBR,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1163
3:35.84,YANN SCHRUB,FRA,"Stade Raymond Troussier, Decines (FRA)",1500m,04 MAY 2024,1163
3:35.84,MORGAN BEADLESCOMB,USA,"Drake Stadium, Los Angeles, CA (USA)",1500m,17 MAY 2024,1163
3:35.85,HAFID RIZQY,MAR,"Boudewijnstadion, Bruxelles (BEL)",1500m,26 MAY 2024,1163
3:35.86,ERIC HOLT,USA,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1163
3:35.86,WALEED SULIMAN,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1163
3:35.86,ARTHUR GERVAIS,FRA,"Stade de Stehelin, Bordeaux (FRA)",1500m,19 JUN 2024,1163
3:35.86,ERIC HOLT,USA,"Hayward Field, Eugene, OR (USA)",1500m,21 JUN 2024,1163
3:35.87,MATHEW KIPCHUMBA KIPSANG,KEN,"Polideportivo Municipal, Andújar (ESP)",1500m,17 MAY 2024,1163
3:35.87,BAPTISTE MISCHLER,FRA,"Centre sportif Bout-du-Monde, Genève (SUI)",1500m,22 JUN 2024,1163
3:35.87,FLAVIEN SZOT,FRA,"Altamira estadioa, Ordizia (ESP)",1500m,22 JUN 2024,1163
3:35.88,LUCAS BONS,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1162
3:35.90,NICHOLAS GRIGGS,IRL,"Stadion Śląski, Chorzów (POL)",1500m,18 MAY 2024,1162
3:35.90,FLAVIEN SZOT,FRA,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1162
3:35.90,JOHNATHAN RENIEWICKI,USA,"Edwin Moses Track Morehouse College, B.T. Harvey Stadium, Atlanta, GA (USA)",1500m,31 MAY 2024,1162
3:35.90,TIMOTHY CHERUIYOT,KEN,"Nyayo National Stadium, Nairobi (KEN)",1500m,14 JUN 2024,1162
3:35.90,MOHAMED AMIN JHINAOUI,TUN,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",1500m,14 JUL 2024,1162
3:35.91,DAVIS BOVE,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",1500m,12 JUL 2024,1162
3:35.94,MARIUS PROBST,GER,"Mestský Stadion, Ostrava (CZE)",1500m,28 MAY 2024,1162
3:35.94,OSSAMA EL KABBOURI,ITA,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",1500m,27 JUL 2024,1162
3:35.98,CATHAL DOYLE,IRL,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",1500m,22 JUN 2024,1161
3:35.98,JESSE HUNT,AUS,"Centre sportif Bout-du-Monde, Genève (SUI)",1500m,22 JUN 2024,1161
3:35.99,CHARLES GRETHEN,LUX,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1500m,03 FEB 2024,1213
3:35.99,JOHN GREGOREK,USA,"Edwin Moses Track Morehouse College, B.T. Harvey Stadium, Atlanta, GA (USA)",1500m,31 MAY 2024,1161
3:36.00,MATHEW KIPCHUMBA KIPSANG,KEN,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",1500m,22 MAY 2024,1161
3:36.02,CATHAL DOYLE,IRL,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1161
3:36.03,BENOIT CAMPION,FRA,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1160
3:36.04,OSSAMA MESLEK,ITA,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",1500m,03 FEB 2024,1213
3:36.04,CRAIG ENGELS,USA,"Drake Stadium, Los Angeles, CA (USA)",1500m,18 MAY 2024,1160
3:36.04,SAMUEL PRAKEL,USA,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",1500m,14 JUL 2024,1160
3:36.04,JACK ANSTEY,AUS,"Stedelijke Atletiekpiste, Ninove (BEL)",1500m,20 JUL 2024,1160
3:36.07,ANTOINE SENARD,FRA,"Stedelijke Atletiekpiste, Ninove (BEL)",1500m,20 JUL 2024,1160
3:36.08,FOUAD MESSAOUDI,MAR,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1160
3:36.08,SAMUEL PRAKEL,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1160
3:36.09,LOUIS GILAVERT,FRA,"Stade Philippe Mahut, Fontainebleau (FRA)",1500m,17 MAY 2024,1160
3:36.09,IGNACIO FONTES,ESP,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1160
3:36.09,BENOIT CAMPION,FRA,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1160
3:36.09,NUNO PEREIRA,POR,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1160
3:36.09,ROBIN VAN RIEL,NED,"Centre sportif Bout-du-Monde, Genève (SUI)",1500m,22 JUN 2024,1160
3:36.09,JOSEPH WIGFIELD,GBR,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1160
3:36.11,ROBERT FARKEN,GER,"Arena Stade Couvert, Liévin (FRA) (i)",1500m,10 FEB 2024,1212
3:36.11,JIMMY GRESSIER,FRA,"Estadio Iberoamericano, Huelva (ESP)",1500m,30 APR 2024,1159
3:36.11,CRAIG ENGELS,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,04 MAY 2024,1159
3:36.11,SEAN MCGORTY,USA,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1159
3:36.14,CATHAL DOYLE,IRL,"Boudewijnstadion, Bruxelles (BEL)",1500m,26 MAY 2024,1159
3:36.15,JAVIER MIRON,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",1500m,30 JUN 2024,1159
3:36.15,MATHEW KIPCHUMBA KIPSANG,KEN,"Stadion Allmend, Luzern (SUI)",1500m,16 JUL 2024,1159
3:36.16,SAMUEL PRAKEL,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1159
3:36.16,STEFAN NILLESSEN,NED,"Atletiekbaan Brakkenstein, Nijmegen (NED)",1500m,18 MAY 2024,1159
3:36.16,JOHN GREGOREK,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1159
3:36.16,KIERAN TUNTIVATE,THA,"Swangard Stadium, Burnaby (CAN)",1500m,15 JUN 2024,1159
3:36.17,HENRY WYNNE,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1158
3:36.17,JESSE HUNT,AUS,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1158
3:36.17,JACK SALISBURY,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",1500m,12 JUL 2024,1158
3:36.18,FLAVIEN SZOT,FRA,"Stade Raymond Troussier, Decines (FRA)",1500m,04 MAY 2024,1158
3:36.18,RUBEN VERHEYDEN,BEL,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1158
3:36.18,MORGAN BEADLESCOMB,USA,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1158
3:36.18,SAMUEL PRAKEL,USA,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",1500m,27 JUL 2024,1158
3:36.19,CONNOR WHITELEY,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",1500m,22 FEB 2024,1158
3:36.21,PARVEJ KHAN,IND,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1158
3:36.22,MAËL GOUYETTE,FRA,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1158
3:36.22,KIERAN TUNTIVATE,THA,"Edwin Moses Track Morehouse College, B.T. Harvey Stadium, Atlanta, GA (USA)",1500m,31 MAY 2024,1158
3:36.23,NUNO PEREIRA,POR,"Polideportivo Zorrotza, Bilbao (ESP)",1500m,18 JUN 2024,1158
3:36.24,GIOVANNI FILIPPI,ITA,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1157
