,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
1732,2:28:55,Rose CHELIMO,BRN,Doha (QAT),16 FEB 2024,1143,Full
1733,2:28:59,Akino ASAHINA,JPN,Nagoya (JPN),10 MAR 2024,1143,Full
1734,2:28:59,Ye-jin LIM,KOR,Seoul (KOR),17 MAR 2024,1143,Full
1735,2:29:00,Dina ALEKSANDROVA,RUS,Zürich (SUI),21 APR 2024,1142,Full
1736,2:29:02,Obse ABDETA,ETH,Roma (ITA),17 MAR 2024,1142,Full
1737,2:29:03,Hanne VERBRUGGEN,BEL,"Stade de France, Paris (FRA)",11 AUG 2024,1142,Full
1738,2:29:04,Caroline JEPCHIRCHIR,KEN,Enschede (NED),21 APR 2024,1142,Full
1739,2:29:05,Choe Il GYONG,PRK,Wuxi (CHN),24 MAR 2024,1142,Full
1740,2:29:05,Ayantu ABDI,ETH,Madrid (ESP),28 APR 2024,1142,Full
1741,2:29:06,Bere AYALEW,ETH,Daegu (KOR),07 APR 2024,1142,Full
1742,2:29:12,Betty CHEPKORIR,KEN,Madrid (ESP),28 APR 2024,1141,Full
1743,2:29:15,Mhairi MACLENNAN,GBR,London (GBR),21 APR 2024,1140,Full
1744,2:29:15,Genet Habela ABDURKADIR,ETH,Dublin (IRL),27 OCT 2024,1140,Full
1745,2:29:17,Kaltoum BOUAASAYRIYA,MAR,Marrakech (MAR),28 JAN 2024,1140,Full
1746,2:29:17,Savannah BERRY,USA,"Orlando, FL (USA)",03 FEB 2024,1140,Full
1747,2:29:18,Ying LU,CHN,Wuxi (CHN),24 MAR 2024,1140,Full
1748,2:29:20,Mekdes WOLDU,FRA,"Stade de France, Paris (FRA)",11 AUG 2024,1139,Full
1749,2:29:22,Tigist TADESE,ETH,Riyadh (KSA),10 FEB 2024,1139,Full
1750,2:29:24,Min LIU,CHN,Wuxi (CHN),24 MAR 2024,1139,Full
1751,2:29:25,Anne-Marie BLANEY,USA,"Chicago, IL (USA)",13 OCT 2024,1138,Full
1752,2:29:30,Beatrice CHEPTOO,KEN,Hong Kong (HKG),21 JAN 2024,1138,Full
1753,2:29:32,Xinyan ZHANG,CHN,Wuxi (CHN),24 MAR 2024,1137,Full
1754,2:29:33,Risper GESABWA,MEX,Enschede (NED),21 APR 2024,1137,Full
1755,2:29:33,Louise SMALL,GBR,Frankfurt (GER),27 OCT 2024,1137,Full
1756,2:29:36,Beatrice CHEROP,KEN,Roma (ITA),17 MAR 2024,1137,Full
1757,2:29:39,Dorine Jerop MURKOMEN,KEN,Castellón (ESP),25 FEB 2024,1136,Full
1758,2:29:44,Kana KOBAYASHI,JPN,Osaka (JPN),28 JAN 2024,1135,Full
1759,2:29:44,Gladys KIPTOO,KEN,Casablanca (MAR),27 OCT 2024,1135,Full
1760,2:29:46,Nawal YAHI,ALG,Sevilla (ESP),18 FEB 2024,1135,Full
1761,2:29:49,Zaida RAMOS,PER,Sevilla (ESP),18 FEB 2024,1134,Full
1762,2:29:49,Yuri MITSUNE,JPN,Nagoya (JPN),10 MAR 2024,1134,Full
1763,2:29:53,Gladys CHEMUTAI,KEN,Riyadh (KSA),10 FEB 2024,1134,Full
1764,2:29:56,Tefera MEKASHU,ETH,Wuxi (CHN),24 MAR 2024,1133,Full
1765,2:29:58,Anchialem HAYMANOT,ETH,Mumbai (IND),21 JAN 2024,1133,Full
1766,2:29:58,Ellie PASHLEY,AUS,Hamburg (GER),28 APR 2024,1133,Full
1767,2:29:59,Muliye DEKEBO,ETH,Hong Kong (HKG),21 JAN 2024,1133,Full
1768,2:29:59,Xia ZHOU,CHN,Hengshui (CHN),22 SEP 2024,1133,Full
1769,2:30:02,Zinash DEBEBE,ETH,Praha (CZE),05 MAY 2024,1132,Full
1770,2:30:02,Grace KAHURA,KEN,"Two Harbors to Duluth,, Duluth, MN (USA)",22 JUN 2024,1132,Full
1771,2:30:03,Citlali CRISTIAN MOSCOTE,MEX,"Stade de France, Paris (FRA)",11 AUG 2024,1132,Full
1772,2:30:06,Lilia FISIKOVICI,MDA,Wien (AUT),21 APR 2024,1132,Full
1773,2:30:12,Caroline Jebet KORIR,KEN,Copenhagen (DEN),05 MAY 2024,1131,Full
1774,2:30:12,Fionnuala MCCORMACK,IRL,"Stade de France, Paris (FRA)",11 AUG 2024,1131,Full
1775,2:30:15,Adawork ABERTA,ETH,Ljubljana (SLO),20 OCT 2024,1130,Full
1776,2:30:16,Molly GRABILL,USA,"Orlando, FL (USA)",03 FEB 2024,1130,Full
1777,2:30:17,Sarah SELLERS,USA,"Orlando, FL (USA)",03 FEB 2024,1130,Full
1778,2:30:20,Sofiia YAREMCHUK,ITA,"Stade de France, Paris (FRA)",11 AUG 2024,1129,Full
1779,2:30:20,Mokulubete Blandina MAKATISI,LES,"Stade de France, Paris (FRA)",11 AUG 2024,1129,Full
1780,2:30:28,Kellyn TAYLOR,USA,"Orlando, FL (USA)",03 FEB 2024,1128,Full
1781,2:30:31,Fantu GELASA,ETH,Mumbai (IND),21 JAN 2024,1128,Full
1782,2:30:31,Bing WU,CHN,Wuxi (CHN),24 MAR 2024,1128,Full
1783,2:30:32,Pan SUFANG,CHN,Hengshui (CHN),22 SEP 2024,1127,Full
1784,2:30:34,Misaki ICHIDA,JPN,Osaka (JPN),25 FEB 2024,1127,Full
1785,2:30:35,Chunxia LI,CHN,Wuxi (CHN),24 MAR 2024,1127,Full
1786,2:30:35,Aleksandra MOROZOVA,RUS,"Luzhniki Stadion, Moskva (RUS)",13 OCT 2024,1127,Full
1787,2:30:36,Urge DIRO,ETH,Hong Kong (HKG),21 JAN 2024,1127,Full
1788,2:30:36,Shyline Jepkorir TOROITICH,KEN,Wien (AUT),21 APR 2024,1127,Full
1789,2:30:37,Leydy Yolanda ROMERO DURAN,COL,Wien (AUT),21 APR 2024,1127,Full
1790,2:30:43,Momoko WATANABE,JPN,Nagoya (JPN),10 MAR 2024,1126,Full
1791,2:30:46,Tristin VAN ORD,USA,"Orlando, FL (USA)",03 FEB 2024,1125,Full
1792,2:30:47,Iwona BERNARDELLI,POL,Sevilla (ESP),18 FEB 2024,1125,Full
1793,2:30:47,Hildah Jepkogei CHEBOI,KEN,Enschede (NED),21 APR 2024,1125,Full
1794,2:30:49,Daeun JEONG,KOR,Osaka (JPN),28 JAN 2024,1125,Full
1795,2:30:51,Iren JEROBON,KEN,Castellón (ESP),25 FEB 2024,1124,Full
1796,2:30:51,Adanech ANBESA,ETH,Paris (FRA),07 APR 2024,1124,Full
1797,2:30:51,Gebeyanesh AYELE,ETH,Taiyuan (CHN),22 SEP 2024,1124,Full
1798,2:30:52,Naomi TUEI,KEN,Wuhan (CHN),24 MAR 2024,1124,Full
1799,2:30:53,Helalia JOHANNES,NAM,Wien (AUT),21 APR 2024,1124,Full
1800,2:30:53,Marina KOVALYOVA,RUS,"Luzhniki Stadion, Moskva (RUS)",13 OCT 2024,1124,Full
1801,2:30:54,Kristina HENDEL,GER,"Houston, TX (USA)",14 JAN 2024,1124,Full
1802,2:30:55,Bashanke BILO,ETH,Riyadh (KSA),10 FEB 2024,1124,Full
1803,2:30:59,Gutemi Shone IMANA,ETH,Lanzhou (CHN),26 MAY 2024,1123,Full
1804,2:31:00,Jingfen LI,CHN,Wuxi (CHN),24 MAR 2024,1123,Full
1805,2:31:01,Linying WANG,CHN,Wuxi (CHN),24 MAR 2024,1123,Full
1806,2:31:02,Jessa HANSON,USA,"Orlando, FL (USA)",03 FEB 2024,1122,Full
1807,2:31:04,Pauline KAMULU,KEN,Sapporo (JPN),25 AUG 2024,1122,Full
1808,2:31:05,Sarah KLEIN,AUS,"Cricket Ground, Melbourne (AUS)",13 OCT 2024,1122,Full
1809,2:31:08,Malindi ELMORE,CAN,"Stade de France, Paris (FRA)",11 AUG 2024,1121,Full
