,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
861,14:57.17,Gete ALEMAYEHU,ETH,"Stade Naimette-Xhovémont, Liège (BEL)",19 JUN 2024,1169,5000m,NA,NA,NA,NA
862,14:57.67,Lauren RYAN,AUS,"Dempsey Indoor, Seattle, WA (USA) (i)",23 FEB 2024,1168,5000m,12805279,2159,43,Public
863,14:58.28,Hanna KLEIN,GER,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1166,5000m,36133939,709,348,Private
864,14:58.39,Ella DONAGHU,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1166,5000m,33448374,0,0,Public
865,14:58.46,Lomi MULETA,ETH,"LAZ Wien, Wien (AUT)",22 JUN 2024,1166,5000m,NA,NA,NA,NA
866,14:58.59,Maureen JEPKOECH,KEN,"LAZ Wien, Wien (AUT)",22 JUN 2024,1166,5000m,115691841,7,1,Public
867,14:59.19,Robe DIDA,ETH,"LAZ Wien, Wien (AUT)",22 JUN 2024,1165,5000m,41880009,10,111,Private
868,14:59.63,Izzy FRY,GBR,"LAZ Wien, Wien (AUT)",22 JUN 2024,1164,5000m,25523358,183,1,Private
869,14:59.84,Jenny BLUNDELL,AUS,"LAZ Wien, Wien (AUT)",22 JUN 2024,1163,5000m,47643982,108,0,Public
870,15:00.05,Federica DEL BUONO,ITA,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1163,5000m,83840979,0,0,Private
871,15:00.18,Esther CHEBET,UGA,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1163,5000m,NA,NA,NA,NA
872,15:00.92,Hellen Ekalale LOBUN,KEN,"Athletics Stadium, Fukagawa (JPN)",17 JUL 2024,1161,5000m,NA,NA,NA,NA
873,15:01.06,Courtney FRERICHS,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1185,5000m,NA,NA,NA,NA
874,15:01.10,Grace Loibach NAWOWUNA,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1161,5000m,NA,NA,NA,NA
875,15:01.25,Janeth Nyiva MUTUNGI,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1161,5000m,NA,NA,NA,NA
876,15:01.27,Belinda CHEMUTAI,UGA,"Sportcomplex De Leidse Hout, Leiden (NED)",25 MAY 2024,1161,5000m,NA,NA,NA,NA
877,15:01.51,Esther MUTHONI,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1160,5000m,52506831,0,33,Public
878,15:01.75,Allie BUCHALSKI,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1160,5000m,40799987,2153,157,Public
879,15:01.80,Diana CHEROTICH,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1160,5000m,108225684,0,0,Public
880,15:01.84,Regan YEE,CAN,"Dempsey Indoor, Seattle, WA (USA) (i)",23 FEB 2024,1159,5000m,11328161,2749,53,Public
881,15:02.30,Joy CHEPTOYEK,UGA,"Nyayo National Stadium, Nairobi (KEN)",14 JUN 2024,1159,5000m,NA,NA,NA,NA
882,15:02.56,Sarah MADELEINE,FRA,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1158,5000m,48797626,2022,78,Public
883,15:02.89,Lexy HALLADAY,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1157,5000m,NA,NA,NA,NA
884,15:03.14,Elly HENES,USA,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1157,5000m,NA,NA,NA,NA
885,15:03.17,Abby NICHOLS,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1157,5000m,49240561,1248,0,Public
