Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Date_Created,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility,2024 Weeks Scraped
2150.0,2:09:45,Alfonce KIBIWOTT,KEN,Eindhoven (NED),13 OCT 2024,1164,Full,M,30 Oct 24,,,,,
1660.0,2:26:51,Sakiho TSUTSUI,JPN,Rotterdam (NED),14 APR 2024,1164,Full,F,30 Oct 24,,,,,
1659.0,2:26:51,Muluhabt TSEGA,ETH,Mumbai (IND),21 JAN 2024,1164,Full,F,30 Oct 24,,,,,
1658.0,2:26:50,Madoka NAKANO,JPN,Osaka (JPN),28 JAN 2024,1164,Full,F,30 Oct 24,76249842.0,171.0,7.0,Public,45.0
1657.0,2:26:49,Jovana DE LA CRUZ,PER,"Houston, TX (USA)",14 JAN 2024,1164,Full,F,30 Oct 24,,,,,
457.0,3:35.77,Gary MARTIN,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1164,1500m,M,30 Oct 24,52075256.0,2011.0,3.0,Public,45.0
464.0,3:35.87,Mathew Kipchumba KIPSANG,KEN,"Polideportivo Municipal, Andújar (ESP)",17 MAY 2024,1163,1500m,M,30 Oct 24,,,,,
1030.0,13:12.72,Célestin NDIKUMANA,BDI,"Polisportivo Comunale, San Vito al Tagliamento (ITA)",02 JUN 2024,1163,5000m,M,30 Oct 24,,,,,
,45:44,Mathew Kipkorir KIMELI,KEN,Amsterdam (NED),22 SEP 2024,1163,10M Road,M,15 Jan 25,,,,,
90.0,1:45.33,Luke MCCANN,IRL,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1163,800m,M,30 Oct 24,36760710.0,393.0,14.0,Public,45.0
91.0,1:45.34,Mohamed BELBACHIR,ALG,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1163,800m,M,30 Oct 24,105410004.0,4.0,0.0,Private,
92.0,1:45.34,Vincent CRISP,USA,"Franklin Field, Philadelphia, PA (USA)",01 JUN 2024,1163,800m,M,30 Oct 24,16717382.0,0.0,0.0,Public,45.0
1664.0,2:26:55,Asimarech NAGA,ETH,Rabat (MAR),21 APR 2024,1163,Full,F,30 Oct 24,,,,,
93.0,1:45.34,Samuel CHAPPLE,NED,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1163,800m,M,30 Oct 24,29184441.0,1556.0,393.0,Public,45.0
460.0,3:35.81,Melese NBERET,ETH,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1163,1500m,M,30 Oct 24,,,,,
463.0,3:35.86,Arthur GERVAIS,FRA,"Stade de Stehelin, Bordeaux (FRA)",19 JUN 2024,1163,1500m,M,30 Oct 24,14187429.0,2516.0,93.0,Public,45.0
462.0,3:35.84,Morgan BEADLESCOMB,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1163,1500m,M,30 Oct 24,50044591.0,1540.0,0.0,Public,45.0
833.0,8:20.90,Derek JOHNSON,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1163,3000m Steeple,M,30 Oct 24,8841155.0,520.0,530.0,Public,45.0
461.0,3:35.84,Yann SCHRUB,FRA,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1163,1500m,M,30 Oct 24,55087751.0,0.0,0.0,Public,45.0
1311.0,27:40.02,Efrem GIDEY,IRL,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1163,10000m,M,30 Oct 24,48998044.0,466.0,5.0,Public,45.0
1663.0,2:26:54,Natsuki OMORI,JPN,Nagoya (JPN),10 MAR 2024,1163,Full,F,30 Oct 24,,,,,
1112.0,31:33.07,Florencia BORELLI,ARG,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1163,10000m,F,30 Oct 24,100970021.0,0.0,0.0,Public,45.0
1031.0,13:12.82,Raphael DAPASH,KEN,"Municipal Stadium, Kitami (JPN)",06 JUL 2024,1163,5000m,M,30 Oct 24,,,,,
75.0,1:59.96,Samantha WATSON,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1163,800m,F,30 Oct 24,104994075.0,267.0,1.0,Private,
1178.0,13:26.56,Evans KIPLAGAT,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1163,5000m,M,30 Oct 24,138734939.0,0.0,0.0,Public,45.0
73.0,1:59.94,Dilek KOÇAK,TUR,"Centro Sportivo Saletti, Nembro (ITA)",19 JUN 2024,1163,800m,F,30 Oct 24,60845172.0,0.0,0.0,Public,45.0
