Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Performance_ID,Date_Created
959,12:50.90,Dominic Lokinyomo LOBALU,SUI,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1243,5000m,M,Dominic Lokinyomo LOBALU_5000m_12:50.90_30 MAY 2024,30 Oct 24
960,12:50.94,Andreas ALMGREN,SWE,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1243,5000m,M,Andreas ALMGREN_5000m_12:50.94_30 MAY 2024,30 Oct 24
1487,2:19:02,Brigid KOSGEI,KEN,London (GBR),21 APR 2024,1243,Full,F,Brigid KOSGEI_Full_2:19:02_21 APR 2024,30 Oct 24
1218,1:04:37,Sutume Asefa KEBEDE,ETH,"Houston, TX (USA)",14 JAN 2024,1243,Half,F,Sutume Asefa KEBEDE_Half_1:04:37_14 JAN 2024,30 Oct 24
328,3:55.33,Nikki HILTZ,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1243,1500m,F,Nikki HILTZ_1500m_3:55.33_30 JUN 2024,30 Oct 24
1066,30:06.43,Emmaculate Anyango ACHOL,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1242,10000m,F,Emmaculate Anyango ACHOL_10000m_30:06.43_25 MAY 2024,30 Oct 24
1,1:55.61,Jemma REEKIE,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1242,800m,F,Jemma REEKIE_800m_1:55.61_20 JUL 2024,30 Oct 24
1219,1:04:40,Senbere TEFERI,ETH,Barcelona (ESP),11 FEB 2024,1242,Half,F,Senbere TEFERI_Half_1:04:40_11 FEB 2024,30 Oct 24
644,9:00.83,Sembo ALMAYEW,ETH,"Stade de France, Paris (FRA)",06 AUG 2024,1242,3000m Steeple,F,Sembo ALMAYEW_3000m Steeple_9:00.83_06 AUG 2024,30 Oct 24
1874,2:05:13,Tadese TAKELE,ETH,Berlin (GER),29 SEP 2024,1241,Full,M,Tadese TAKELE_Full_2:05:13_29 SEP 2024,30 Oct 24
