Athlete Name,Total_Run_Distance_km,Avg_Weekly_Run_Mileage_km,Total_Run_Hours,Avg_Weekly_Run_Hours,Total_Ride_Hours,Total_Swim_Hours,Total_Other_Hours,Competitor,Nat,Gender,Mark,Discipline,Number_of_events,Avg_Run_Pace_min_per_km,2024 Weeks Scraped,Athlete ID
ERIK HILLE,6590.9554096,146.4656757688889,439.96166666666664,9.776925925925925,50.78138888888889,0.0,8.639444444444445,Erik Hille,GER,Male,2:13:03,Full,1,4.005140129085178,45,105319659
ERIN STRZELECKI,2936.7397254,65.26088278666667,222.61055555555555,4.9469012345679015,0.0,0.0,0.0,Erin Strzelecki,USA,Female,32:44.62,10000m,1,4.548116136343709,45,74338147
ERMIAS GIRMA,29.9015372,0.6644786044444444,4.139166666666666,0.0919814814814814,0.0,0.0,11.816666666666666,Ermias Girma,ETH,Male,1:46.59|3:34.73,800m|1500m,2,8.30559306496122,45,86185454
ESTHER SEELAND,3428.1516944,76.18114876444444,233.27805555555557,5.183956790123457,0.0,0.0,49.73611111111111,Esther Seeland,USA,Female,4:11.91,1500m,1,4.0828658067253505,45,142181772
ETIENNE DAGUINOS,4951.52,95.22,362.94,6.98,60.43,0.0,0.0,Etienne Daguinos,FRA,Male,3:37.44|13:19.77|59:46,1500m|5000m|Half,3,4.4,52,21935508
EVAN JAGER,1783.78,34.3,124.09,2.39,0.0,0.0,0.0,Evan Jager,USA,Male,3:40.40|8:25.77,1500m|3000m Steeple,2,4.17,52,34822200
EVAN JENKINS,3894.9407614,86.55423914222223,271.4613888888889,6.032475308641976,0.0,0.0,0.0,Evan Jenkins,USA,Male,28:04.58,10000m,1,4.1817538009175985,45,73659831
FABIENNE SCHLUMPF,2995.81,57.61,218.19,4.2,0.0,0.0,0.0,Fabienne Schlumpf,SUI,Female,1:10:01|2:28:10,Half|Full,2,4.37,52,7018180
FEARGHAL CURTIN,4308.55,82.86,283.27,5.45,3.74,0.0,0.0,Fearghal Curtin,IRL,Male,1:01:45,Half,1,3.94,52,26028112
FEDERICO RIVA,340.97,6.56,30.8,0.59,8.72,0.0,0.0,Federico Riva,ITA,Male,1:47.19|3:32.84,800m|1500m,2,5.42,52,18269729
FESTUS LAGAT,1913.022458,42.511610177777776,126.27972222222222,2.806216049382716,0.0,0.0,0.0,Festus Lagat,KEN,Male,1:44.10|3:33.25,800m|1500m,2,3.960634806793958,45,145188372
FILIP OSTROWSKI,3238.6519094,71.97004243111111,250.12972222222223,5.558438271604938,23.068055555555556,0.0,2.65,Filip Ostrowski,POL,Male,1:45.22|3:35.73,800m|1500m,2,4.633959978772065,45,99277269
FLORENCE CARON,6277.83,120.73,454.14,8.73,4.61,0.0,0.0,Florence Caron,CAN,Female,4:13.45|15:32.22,1500m|5000m,2,4.34,52,42575476
FLORIAN BREMM,3200.32,61.54,234.05,4.5,9.68,0.0,0.0,Florian Bremm,GER,Male,3:37.73|13:11.87,1500m|5000m,2,4.39,52,21000995
FLORIAN LE PALLEC,5463.39,105.07,374.82,7.21,0.0,0.0,0.0,Florian Le Pallec,FRA,Male,13:29.78,5000m,1,4.12,52,9389758
FOSTER MALLECK,4927.29,94.76,341.67,6.57,0.0,0.0,0.0,Foster Malleck,CAN,Male,3:37.87,1500m,1,4.16,52,48312027
FREDRIK SANDVIK,709.33,13.64,52.71,1.01,0.0,0.0,0.0,Fredrik Sandvik,NOR,Male,3:40.43|8:28.47,1500m|3000m Steeple,2,4.46,52,18082688
GABRIELA DEBUES-STAFFORD,873.39,16.8,67.7,1.3,0.0,0.0,0.0,Gabriela Debues-Stafford,CAN,Female,15:17.48,5000m,1,4.65,52,56812301
GARY MARTIN,3861.75,74.26,259.39,4.99,0.0,0.0,0.0,Gary Martin,USA,Male,1:47.46|3:35.77,800m|1500m,2,4.03,52,52075256
GEORGE COUTTIE,3656.62,70.32,269.65,5.19,1.92,0.0,0.0,George Couttie,GBR,Male,3:39.77,1500m,1,4.42,52,53091912
GEORGIA BELL,174.05,3.35,13.51,0.26,0.0,0.0,0.0,Georgia Bell,GBR,Female,1:56.28|3:52.61,800m|1500m,2,4.66,52,25124025
GIOVANNA EPIS,18.01,0.35,1.27,0.02,0.0,0.0,0.0,Giovanna Epis,ITA,Female,1:10:55|2:28:24,Half|Full,2,4.22,52,58587312
GIOVANNI FILIPPI,1284.58,24.7,85.78,1.65,0.0,0.0,0.0,Giovanni Filippi,ITA,Male,3:36.24,1500m,1,4.01,52,18819249
GLADYS CHEPNGETICH,882.4172154,19.609271453333335,68.18194444444444,1.515154320987654,0.0,0.0,0.0,Gladys Chepngetich,KEN,Female,1:59.81|4:13.15,800m|1500m,2,4.636034514367733,45,120754520
GRACE BARNETT,1806.96,34.75,148.23,2.85,1.49,0.0,0.0,Grace Barnett,USA,Female,4:09.27,1500m,1,4.92,52,57217273
GRACELYN LARKIN,3660.041495,81.33425544444444,283.89722222222224,6.308827160493828,0.0,0.0,0.0,Gracelyn Larkin,CAN,Female,15:25.83,5000m,1,4.654000058907347,45,78680893
HAFTOM WELDAY,27.86,0.54,1.37,0.03,0.0,0.0,0.0,Haftom Welday,GER,Male,2:08:29,Full,1,2.94,52,23836673
HAMZA SAHLI,722.4649128,16.054775839999998,72.59944444444444,1.613320987654321,17.36611111111111,0.0,55.048611111111114,Hamza Sahli,MAR,Male,2:09:03,Full,1,6.029312412951089,45,64360338
